ID,WORD,RUS,EXAMPLES_RUS,Q_REC,Q_REP
21,GmbH (Gesellschaft mit beschränkter Haftung),общество с ограниченной ответственностью,,2,2
6011,der Bezug (die Bezüge),"наволочка, пододеяльник, обивка, чехол",,2,2
6545,der Arbeitnehmer (die Arbeitnehmer),служащий,,2,2
6684,"das Handelsgesetzbuch (die Handelsgesetzbücher), HGB","торговый кодекс, хозяйственный кодекс",,0,0
6710,der Bundesrat,"Федеральный совет, Федеральное собрание",,0,0
6791,vielfach,многократный,,0,0
6845,gezielt,"целенаправленный, прицельный",,0,0
6868,vorgeben,"притворяться, утверждать, устанавливать",,0,0
6869,vorhaben,планировать,,2,2
6870,der Vorstand (die Vorstände),"правление, совет директоров, председатель",,0,0
6871,zögern,"колебаться, не решаться",,0,0
6873,zufällig,случайный,,0,0